sim_id,students,coffee_machines,avg_wait_time,missed_coffee,no_attempts,total_attempts,avg_idle_time
493,30,5,4.761904761904762,5,9,34,69.2
494,30,5,5.190476190476191,7,9,34,69.8
495,30,5,4.0,5,9,37,70.8
496,30,5,2.2857142857142856,5,9,36,70.2
497,30,5,2.142857142857143,5,9,31,72.2
498,30,5,3.619047619047619,1,9,34,66.8
499,30,5,3.5714285714285716,7,9,33,68.6
500,60,1,15.714285714285714,39,53,7,68.0
501,60,1,17.333333333333332,40,54,7,67.0
502,60,1,12.5,40,52,8,67.0
503,60,1,10.11111111111111,41,51,11,66.0
504,60,1,9.125,41,52,8,74.0
505,60,1,10.7,39,50,10,66.0
506,60,1,11.8,39,50,10,72.0
507,60,1,16.75,40,52,9,72.0
508,60,1,12.75,40,52,8,64.0
509,60,1,16.571428571428573,39,53,7,66.0
510,60,1,12.11111111111111,40,51,9,74.0
511,60,1,11.428571428571429,41,53,7,71.0
512,60,1,14.857142857142858,40,53,7,67.0
513,60,1,16.142857142857142,39,53,8,73.0
514,60,1,14.6,37,50,10,71.0
515,60,1,9.909090909090908,40,49,11,70.0
516,60,1,11.666666666666666,40,51,9,68.0
517,60,1,11.090909090909092,39,49,11,68.0
518,60,1,14.5,40,50,11,70.0
519,60,1,13.272727272727273,38,49,12,71.0
520,60,1,14.8,36,50,11,66.0
521,60,1,15.0,39,52,8,67.0
522,60,1,11.7,40,50,10,66.0
523,60,1,13.5,40,52,9,68.0
524,60,1,13.833333333333334,39,54,6,68.0
525,60,1,14.0,40,54,6,74.0
526,60,1,12.88888888888889,39,51,9,68.0
527,60,1,12.777777777777779,40,51,9,72.0
528,60,1,13.666666666666666,40,54,6,65.0
529,60,1,13.6,37,50,11,70.0
530,60,1,15.166666666666666,39,54,6,73.0
531,60,1,12.2,40,50,11,73.0
532,60,1,13.625,38,52,8,65.0
533,60,1,12.5,40,54,6,68.0
534,60,1,11.444444444444445,39,51,10,72.0
